# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS
2360	Tongan	Tongan	tong1325	1209	I	ou	ou	117207	81796	4		au	o u
2578	Rakahanga_Manihiki	Manihiki	raka1237	1209	I	koau	koau	Clark-589-2008	153372	4			k o a u
2850	Tikopia	Tikopia	tiko1237	1209	I	-ku	-ku	POLLEX	123652	1460			k u
2851	Tikopia	Tikopia	tiko1237	1209	I	kau	kau	POLLEX	123651	4		au	k a u
3103	Sikaiana	Sikaiana	sika1261	1209	I	n/au/	au	POLLEX	64860	4			a u
3324	North_Marquesan	Marquesan	nort2845	1209	I	='u	='u	POLLEX	123646	1460			ʔ u
3325	North_Marquesan	Marquesan	nort2845	1209	I	au	au	POLLEX	123645	4			a u
3622	East_Futunan	Futuna, East	east2447	1209	I	-ku	-ku	POLLEX	123677	1460			k u
3623	East_Futunan	Futuna, East	east2447	1209	I	kau	kau	POLLEX	123676	4		au	k a u
3935	Pukapuka	Pukapuka	puka1242	1209	I	aku	aku	Salisbury-152-2005	123649	1460		ēku	a k u
3936	Pukapuka	Pukapuka	puka1242	1209	I	au	au	Salisbury-152-2005	123647	4			a u
4228	Mele_Fila	Fila	mele1250	1209	I	aβau	aβau	52375	268297	4			a β a u
4421	Ra’ivavae	Ra'ivavae	aust1304	1209	I	vau	vau	Tamaititahio-1213-2015	291317	4			v a u
4609	Tuamotuan	Tuamotu	tuam1242	1209	I	-ku	-ku	POLLEX	123681	1460			k u
4610	Tuamotuan	Tuamotu	tuam1242	1209	I	au	au	POLLEX	123680	4			a u
4879	Niuean	Niue	niue1239	1209	I	-ku	-ku	POLLEX	123684	1460			k u
4880	Niuean	Niue	niue1239	1209	I	kau	kau	POLLEX	123683	4		au	k a u
5131	Rurutuan	Rurutuan	aust1304	1209	I	au	au	Meyer-128-2005	81790	4			a u
5132	Rurutuan	Rurutuan	aust1304	1209	I	vau	vau	Meyer-128-2005	81789	4			v a u
5383	Futuna_Aniwa	Futuna-Aniwa	futu1245	1209	I	au	au	POLLEX	64878	4			a u
5384	Futuna_Aniwa	Futuna-Aniwa	futu1245	1209	I	avau	avau	POLLEX	64773	4			a v a u
5641	Hawaiian	Hawaiian	hawa1245	1209	I	['o] au	au	71458	64669	4			a u
